right_hand_wrist_x,right_hand_wrist_y,right_hand_wrist_z,right_hand_thumb_cmc_x,right_hand_thumb_cmc_y,right_hand_thumb_cmc_z,right_hand_thumb_mcp_x,right_hand_thumb_mcp_y,right_hand_thumb_mcp_z,right_hand_thumb_ip_x,right_hand_thumb_ip_y,right_hand_thumb_ip_z,right_hand_thumb_tip_x,right_hand_thumb_tip_y,right_hand_thumb_tip_z,right_hand_index_finger_mcp_x,right_hand_index_finger_mcp_y,right_hand_index_finger_mcp_z,right_hand_index_finger_pip_x,right_hand_index_finger_pip_y,right_hand_index_finger_pip_z,right_hand_index_finger_dip_x,right_hand_index_finger_dip_y,right_hand_index_finger_dip_z,right_hand_index_finger_tip_x,right_hand_index_finger_tip_y,right_hand_index_finger_tip_z,right_hand_middle_finger_mcp_x,right_hand_middle_finger_mcp_y,right_hand_middle_finger_mcp_z,right_hand_middle_finger_pip_x,right_hand_middle_finger_pip_y,right_hand_middle_finger_pip_z,right_hand_middle_finger_dip_x,right_hand_middle_finger_dip_y,right_hand_middle_finger_dip_z,right_hand_middle_finger_tip_x,right_hand_middle_finger_tip_y,right_hand_middle_finger_tip_z,right_hand_ring_finger_mcp_x,right_hand_ring_finger_mcp_y,right_hand_ring_finger_mcp_z,right_hand_ring_finger_pip_x,right_hand_ring_finger_pip_y,right_hand_ring_finger_pip_z,right_hand_ring_finger_dip_x,right_hand_ring_finger_dip_y,right_hand_ring_finger_dip_z,right_hand_ring_finger_tip_x,right_hand_ring_finger_tip_y,right_hand_ring_finger_tip_z,right_hand_pinky_mcp_x,right_hand_pinky_mcp_y,right_hand_pinky_mcp_z,right_hand_pinky_pip_x,right_hand_pinky_pip_y,right_hand_pinky_pip_z,right_hand_pinky_dip_x,right_hand_pinky_dip_y,right_hand_pinky_dip_z,right_hand_pinky_tip_x,right_hand_pinky_tip_y,right_hand_pinky_tip_z
,,,449.53799496109644,768.8280889379547,1298.0761952696114,419.1405302660933,757.0540467441137,1321.6945185321429,389.2710664979917,756.3608952018366,1327.4676074256124,369.60403871741926,759.8438900145085,1322.3843700047923,388.05691836176294,770.8596086813976,1332.8953234067178,350.34358713332847,737.9986940398672,1326.2484201385125,358.2236952512432,733.3942464080627,1313.3915584235656,373.79805811018133,738.1886908261962,1307.542228407464,377.088935194536,782.2614102366082,1312.9332812586074,345.274518431005,751.3583730145283,1303.7398293829913,355.52473831789354,746.21055485163,1293.1968208319527,372.1612442173946,748.9428522281596,1288.7386221280135,370.5587197930686,790.3704361021654,1289.6666942344937,342.4575167541402,761.240561285862,1280.6449862935442,354.0336517347332,757.3457967772721,1273.3089554336302,370.31793181534505,759.1871161584104,1270.4290680605775,368.96079736051263,796.7360298787236,1265.3899655653177,344.7621519098848,773.0903124449759,1258.0943196199369,357.1561842584566,770.7353852620053,1253.8147947699795,372.25390300170295,772.7970388018367,1252.9075268457432
,,,432.0343475916298,766.6821032522303,1301.3396793421095,400.29078331841237,748.5615507035653,1320.684763136659,370.32708709733055,744.2021111621784,1319.5558837759274,350.8521146406991,745.4624672673299,1309.3227859610136,374.15145230660676,774.5112737586148,1339.9889700685353,332.7202801610035,732.8187775920369,1327.894304021443,333.4238920326346,715.4892012635402,1311.2998571365558,344.3444452108747,711.6185075429288,1304.3129148586552,364.04331404625384,788.4301436788415,1320.685684127997,327.68791008742244,749.777173020518,1305.5217404957561,333.44843951665575,737.3000924773847,1292.0210013363464,347.9438516158822,735.2745800394533,1287.3902600376935,358.11519686222175,798.152464048848,1296.8769867386768,326.49554537307375,761.0334508482172,1281.6458757748296,334.8921121101797,749.9722540133492,1271.3704492980223,349.40999457525754,747.6369622976633,1268.7575081014816,356.256750401848,805.4902827608066,1271.680671167024,329.6201499657076,772.4593822716043,1258.493709992482,338.91595123502384,762.9449350178053,1251.8077593023884,352.72936977312105,761.2748034228994,1250.8725497991265
,,,448.1683766849581,812.8558750461386,1292.9280037020708,415.3234875668885,786.9061726614119,1310.3885034555526,380.8940272140712,774.0368541664487,1309.396574487461,356.4776705811952,766.9555578081608,1300.3788304335155,389.2396307854919,816.266062078318,1332.3931286941054,346.57338809033416,770.1509009868116,1320.1868711523075,338.8002857199524,742.1672700782261,1302.5476648563852,340.96538768176333,726.3695986589198,1292.1421019295276,380.6546197871957,832.4574462686477,1313.3501047601171,338.9706277157108,782.781895383219,1297.6518524166868,336.2027171586432,755.5328299568971,1281.5904836831924,343.03845504197625,741.208240574422,1273.472646687527,375.7092435368448,843.4612133098518,1289.6646014869782,338.0352546516011,795.1560428752872,1273.4529556905077,337.712034687287,770.0822863944635,1260.3438578946727,344.8835813164857,756.4206842810426,1254.6586030494157,373.76552196513643,850.3143841988926,1264.263554055653,342.04861126767855,809.9329807720036,1250.9438857024402,342.8404940864571,786.560343493701,1241.9106815542325,349.2668216210033,772.0770236002342,1238.492357710901
,,,424.72597973223776,863.3370030392442,1297.8906795004175,393.13218719206185,835.4106900302207,1312.900881625067,360.27143752237475,815.1544003960855,1310.3735332779363,336.1585582595548,801.6987876725693,1301.0030773684834,370.2724967407745,861.9099225777967,1333.3080799564939,325.83912565862187,818.2516850612565,1323.2904715100549,312.42709348814225,791.4224437083757,1306.054327810519,309.8920722285282,772.7212136235576,1292.209977847781,362.9420387241717,880.1912773962588,1314.245368180105,317.3022983681041,829.7824768556114,1299.3548853278303,307.759194714957,798.8046578943583,1281.944148414348,309.50818995346117,778.7653320141432,1269.7633651446397,359.1494678562256,892.1633922228389,1290.7638303889812,317.9218919223247,842.8910461387374,1275.4632750126393,310.02644084765643,811.719430179645,1260.4539180302897,312.27685271137307,790.5780730094891,1250.6375950980198,357.9597145798627,897.9336680411674,1265.4729436332261,323.4672449039455,859.4341435773464,1255.0253495520024,316.4269599446096,832.5262784767311,1245.350020570597,316.59558665807333,812.3773898464308,1239.2693762003948
,,,382.532472957277,857.6412140336963,1306.6276440021734,350.0905735241152,834.5644154825435,1319.9153969837694,321.0629776138397,814.7403277819914,1313.7838897680226,300.98859279199894,802.4739429176753,1301.326326469983,333.2858090640414,859.0844512231524,1337.7263393842425,285.6034673064718,820.3544302283104,1327.179450561207,270.77059072944616,798.0456549858136,1310.0486490026633,268.09840627323837,781.1773944510525,1295.0201895940902,327.33775384923223,878.9837922274243,1318.848265770279,279.1492962961568,834.9687852378294,1302.52246903052,267.2562573181135,808.3312065968528,1284.6062553872111,268.36287887873436,789.3439417649575,1270.8951565133877,324.83942868766746,892.2430096654684,1295.3561867065534,281.99039408520326,849.8700159954791,1279.748467907221,271.6579790418258,820.2257698151217,1263.8583667335304,273.72679220885306,797.9071381877292,1252.3763761520777,324.6740971214297,898.5921001404239,1269.9984618043586,289.06612110513964,867.0340579316297,1260.9236893491354,279.42726503648345,845.0335215458135,1251.6686505316538,278.278976853574,827.6569432231485,1244.9241003460982
,,,391.3658704620272,803.9566557574009,1294.3662707205476,354.5432952971416,785.3280538184017,1308.5097467541518,322.3043404339604,771.9011883677045,1303.1685843881316,301.0495573778637,763.6820594350488,1290.3281119875458,339.73976498911986,812.8691170731246,1324.1955623841661,289.2930303626208,778.3014131609314,1311.5502144374052,274.2515386541395,752.2617629008388,1294.5155548734376,270.21291350450156,731.2705065110703,1280.6614883184207,336.26960116566426,833.5562817704396,1305.4567424708537,284.71715034310625,792.1816259951535,1288.5352785936095,271.0235323160034,762.3459210841145,1270.717150538221,270.15026828424834,740.5035888957372,1257.9138291800266,335.3841449669881,848.4231427902268,1282.2455660076887,288.1534581443937,809.2840626883428,1267.5682847306718,275.8956505101451,777.7508082370531,1251.8239602756885,275.9604465416453,753.7932957844056,1241.2867149397716,336.07282983323296,856.8894305414399,1257.1634556785157,296.8857505085099,830.7909653895375,1249.4898937328833,286.42640492236694,807.580459505254,1240.6660720786012,284.24749917863477,788.6085024344842,1234.6029806906568
,,,401.7910612969334,762.9794129090355,1283.1288147328657,363.15665989790375,746.4448035153966,1297.1774106599805,328.56975206170665,738.0328422064002,1292.936688083363,306.1305375639163,732.27581437566,1280.3176963346168,351.2796553551022,780.0984187565266,1310.7272020912872,298.28514357173077,749.7850774184252,1297.8800892895665,282.4288125948195,721.2619401827578,1281.4413239721935,277.9939204916616,699.5744480188508,1269.74481983194,350.3994639931703,800.6861842965327,1291.4923293260317,294.9180644071167,763.6418153028688,1276.570878218365,278.6064035895044,731.9180903069362,1259.713586702499,276.23472170147613,709.2158832203843,1248.4630561093245,351.0966902609397,815.7834267869489,1268.6578329677072,299.1020376476086,781.2081865472031,1256.8337595836285,283.9266191194788,749.7340108058974,1242.1774882333648,281.45078274958445,726.1979761438018,1233.0881925110089,353.1440905990622,824.8282720369982,1244.4666618521155,310.2942701667964,804.4452078195889,1239.4930742889035,298.3529198789688,780.550778569417,1231.9745002268044,295.06880176284545,760.7895085289558,1227.0994542425328
,,,381.54899818230706,755.4849378349902,1289.159250950076,343.0893373437834,740.0502192190263,1302.0079781545526,310.02716643531147,732.3361697308333,1296.7347313510215,288.9983759539249,728.3644271521723,1283.7209977584014,336.57125838937145,774.9056025913964,1312.9126319678855,280.82283528378247,747.6284938571681,1301.2029457311837,263.9286806141423,722.6366675425655,1285.2481550598952,260.78468747575477,705.9999594698623,1273.938262769293,337.2941523349305,795.4406819369447,1292.9570682367316,278.6542795082609,764.8645173785188,1280.112789528634,260.59014780522966,736.9962744758213,1263.7559534695115,259.2933083132219,717.724820349949,1252.6146238380595,338.8973749904126,809.814708921489,1270.1887503101466,284.10559769144027,782.9291096234373,1260.0641672286306,267.9234991227067,755.6325064211476,1246.10057379071,266.4713031662997,734.8045590101417,1237.5798687514696,341.86443868939483,817.7079551275333,1246.6873328857378,296.32363131355777,801.6446495432191,1242.5161404287671,283.1846685121847,782.8798743345473,1236.408890324151,280.51339887289555,767.99411277863,1232.799076403356
,,,372.4459668500812,742.1808874464431,1295.590166414688,333.76164578751354,729.4191981183823,1308.716013346682,300.63442673212995,723.9670077360844,1304.043019856027,278.83914531259614,722.8403105225103,1292.0003162537726,327.7009892149529,759.4878552129125,1318.090860386782,271.5648962748097,737.215418920274,1307.9012525316882,254.51676546886577,713.9955483104387,1292.0639908983912,250.69225801651396,696.3227230577169,1279.081327290482,329.2467085868663,780.6942972749234,1298.214590693237,270.1202639364545,755.6096072204058,1286.4580506605982,252.16240250837555,728.8622487053358,1269.8958645430962,250.5807400032213,708.5779144752543,1257.7641027579973,331.30117969070557,796.0320132291531,1276.0472184348987,275.4872095540428,774.882732005101,1265.9642873770672,259.87831218953704,749.9500171613362,1252.2666622047077,258.94687965759573,728.9875552702698,1243.7258749509547,334.0405043308432,804.6939462367385,1253.1595115273815,287.46113654281726,792.9218425247814,1247.8520436187264,273.4185007888466,778.7301859521128,1242.1037911619292,269.8933275895585,766.9514663926406,1239.059613870196
,,,371.7825183476271,715.0829978402578,1297.9344640769714,335.2542153949781,710.5265641621802,1311.1898640325683,303.27155119867376,711.8850887066523,1308.0782909975342,281.2904434999654,713.870624849196,1297.371125134695,328.7550530250473,740.3055940981363,1320.894154519701,276.3139098063654,728.5335837513936,1313.2110003278638,259.0213825693595,708.0746471285713,1298.4816436555193,252.87066293092252,687.7956418122812,1284.9405940910992,331.2320062533095,761.2129110560667,1302.1373912208453,275.61929830901136,746.1867526316975,1291.4166929808796,257.2357914019037,722.1678824541129,1276.1162915700952,252.09294879116203,699.9145675042569,1264.030110546065,334.4388662807155,777.3888254075833,1281.4480564459882,281.35297171793076,764.5934312876509,1271.9990832163555,263.71753787775424,743.417186125831,1259.852202968947,258.02691506722084,722.6105073862713,1251.438071348517,338.0228309768907,787.9346027355812,1259.7811459512736,296.6326596500476,787.3611508380158,1254.8602319425338,280.46810339441896,778.0698957464358,1249.7983874559443,272.048102963685,767.796725038906,1246.6375802866282
